iter	RMSE
0	0.3362525416
1	0.333585918
2	0.3296263452
3	0.325840739
4	0.3235279196
5	0.3212078942
6	0.3188518852
7	0.3153236349
8	0.3118076488
9	0.3088645299
10	0.3055181729
11	0.3028579705
12	0.3003306963
13	0.2978332278
14	0.2958057605
15	0.2937944879
16	0.2918232296
17	0.2899020203
18	0.2877698314
19	0.2852149889
20	0.2831711021
21	0.2810070535
22	0.2790415536
23	0.2764403321
24	0.2748648201
25	0.2728082265
26	0.2713478834
27	0.2692945589
28	0.2678153478
29	0.2672942233
30	0.2661710511
31	0.2648218912
32	0.2638358032
33	0.2625741417
34	0.2608570049
35	0.2596094094
36	0.258222263
37	0.2570862997
38	0.2558959954
39	0.2547849501
40	0.2538200891
41	0.2523475582
42	0.2512681017
43	0.2495906405
44	0.2480948029
45	0.2468035026
46	0.2453116424
47	0.2444480223
48	0.2435107866
49	0.2421393029
50	0.2410427917
51	0.2404618461
52	0.2394384678
53	0.2390524192
54	0.2386756103
55	0.2376145439
56	0.236731833
57	0.2360436916
58	0.2350739693
59	0.234097783
60	0.2331789252
61	0.2327424411
62	0.2316598735
63	0.2312351474
64	0.2305633246
65	0.2302757235
66	0.2299401999
67	0.2295761576
68	0.2288290161
69	0.227983081
70	0.2276406468
71	0.2271905149
72	0.2265533147
73	0.2261913591
74	0.2256334776
75	0.225051655
76	0.2247050935
77	0.2237862958
78	0.2232520794
79	0.2227430777
80	0.2224991209
81	0.2219760896
82	0.2217093497
83	0.2213715418
84	0.2211545916
85	0.2209035484
86	0.2201164244
87	0.2198756126
88	0.2191658396
89	0.2186714727
90	0.21816061
91	0.2176722852
92	0.2167855369
93	0.2161701099
94	0.2156801468
95	0.2155265664
96	0.2148419067
97	0.2144712533
98	0.2143241924
99	0.2141882197
100	0.2136704492
101	0.213543086
102	0.213422078
103	0.2131446207
104	0.212852708
105	0.2122385807
106	0.2117150805
107	0.2114693182
108	0.2111703866
109	0.2109811274
110	0.2105726667
111	0.2102610665
112	0.2094678662
113	0.209220232
114	0.2089968302
115	0.2087723185
116	0.2086861373
117	0.2085204661
118	0.2084384371
119	0.2081874937
120	0.2081103495
121	0.20779442
122	0.2077579435
123	0.2075412361
124	0.2074694703
125	0.2073019663
126	0.2069319115
127	0.2067722957
128	0.2067352207
129	0.2066963581
130	0.2066592179
131	0.2062132235
132	0.2059114038
133	0.2055930312
134	0.2055690879
135	0.2055415806
136	0.205411512
137	0.2051871001
138	0.2049832778
139	0.2043455204
140	0.2040901684
141	0.2039449579
142	0.2036728775
143	0.2035693997
144	0.2031133474
145	0.2025840988
146	0.202196087
147	0.2020905592
148	0.20170477
149	0.2014006917
150	0.2013858033
151	0.2012064122
152	0.2010466999
153	0.2009160506
154	0.2008467579
155	0.200666852
156	0.2004346495
157	0.2000640613
158	0.1995900786
159	0.199569214
160	0.1991202154
161	0.19857894
162	0.1983322787
163	0.1983143839
164	0.1981303892
165	0.1980134684
166	0.1979957608
167	0.1975739955
168	0.1973845717
169	0.1973698741
170	0.1973247592
171	0.1972055225
172	0.1971521626
173	0.1970069129
174	0.1968783216
175	0.1968306357
176	0.1967780175
177	0.1965867405
178	0.1965636223
179	0.196554886
180	0.1963741979
181	0.1962951533
182	0.1962760143
183	0.1958061909
184	0.1956630892
185	0.1954709129
186	0.1954182626
187	0.195391293
188	0.1953333259
189	0.1953246761
190	0.1952986423
191	0.1952171929
192	0.1951946634
193	0.1951913918
194	0.1950604178
195	0.1947902323
196	0.1947103261
197	0.194668208
198	0.1946631324
199	0.1945582172
200	0.1943079256
201	0.1941813202
202	0.1941615471
203	0.1938765121
204	0.1938232842
205	0.193730497
206	0.1936822225
207	0.193612076
208	0.1934546324
209	0.193416147
210	0.1934012358
211	0.1933513098
212	0.1933473865
213	0.1932552647
214	0.1932455289
215	0.1932123265
216	0.1931402416
217	0.1931049955
218	0.1928833245
219	0.192617355
220	0.1925740138
221	0.1925720728
222	0.1925214565
223	0.1921616864
224	0.1921221887
225	0.1920255165
226	0.1918679287
227	0.191864914
228	0.1917949406
229	0.1917904676
230	0.1916536251
231	0.1914230822
232	0.1914227531
233	0.191414526
234	0.1914109055
235	0.1912365991
236	0.1912278487
237	0.1912227558
238	0.1912036168
239	0.1912014317
240	0.1911905852
241	0.1908567168
242	0.1908230755
243	0.1908217996
244	0.1908130346
245	0.1907426205
246	0.1907400961
247	0.1907043963
248	0.1906824925
249	0.1905401347
250	0.1905257076
